cname,ccodealp,ccode,year,wbgi_cce,wbgi_gee,wbgi_pve,wbgi_rle,wbgi_rqe,wbgi_vae,vdem_corr,ti_cpi,icrg_qog,fh_status,fh_pr,fh_cl,p_polity2,vdem_polyarchy,wdi_trade,wdi_taxrev,pwt_pop,mad_gdppc,wdi_lifexp,wdi_pop,wdi_fertility,wdi_expedu,wdi_gini,wdi_empagr,wdi_internet,wdi_mobile,wdi_co2,wdi_forest,wdi_migration,vdem_libdem,vdem_partip,vdem_delibdem,vdem_egal,br_pvote,ucdp_type4
Spain,ESP,724.0,2020,0.71180195,0.85392857,0.41144845,0.8609645,0.7554491,1.0040144,0.034,62.0,0.7222222222222223,1.0,1.0,1.0,,0.877,60.11948061232697,13.569315734443837,,30834.51319742432,82.33170731707318,47365655.0,1.19,4.89540004730225,34.9,3.98524970373957,93.2056,117.4899328,4.580888831791728,37.17730548854976,208791.0,0.792,0.652,0.771,0.908,1.0,4.0
South Sudan,SSD,728.0,2020,-1.9368697,-2.316321,-2.1917365,-1.9719262,-2.0104368,-1.8111969,0.937,12.0,,3.0,7.0,7.0,,0.173,,,,,55.48,10606227.0,4.543,,,61.0425211864959,9.27123,12.6718012,,11.325621508711407,-74415.0,0.067,0.28,0.047,0.095,0.0,0.0
Suriname,SUR,740.0,2020,-0.46073404,-0.57881397,0.41884395,-0.13208894,-0.7950153,0.41432622,0.252,38.0,0.4490740740740741,1.0,2.0,2.0,,0.754,,,,,72.561,607065.0,2.371,4.58425712585449,,7.81588665941079,69.8369,148.145421,4.291797418727813,97.4121153846154,-313.0,0.633,0.557,0.562,0.681,1.0,
Eswatini,SWZ,748.0,2020,-0.2922636,-0.75438714,-0.040546946,-0.4990718,-0.49218196,-1.3292023,0.5,33.0,,3.0,7.0,5.0,,0.132,86.88450515755228,28.12695332723618,,8167.689638966547,59.692,1180655.0,2.89,5.36010456085205,,13.5554123979136,49.013,105.8184652,0.9757295738382508,28.92790697674419,-4897.0,0.113,0.378,0.076,0.265,,
Sweden,SWE,752.0,2020,2.0945106,1.6700268,0.9973768,1.7674102,1.6786164,1.4980413,0.008,85.0,0.9444444444444444,1.0,1.0,1.0,,0.901,83.21100287424645,26.728765368049224,,44128.33196694781,82.35609756097561,10353442.0,1.67,7.92561006546021,28.9,1.7275073634586,94.5394,123.3665446,3.774532179733078,68.69907030761067,81066.0,0.872,0.653,0.838,0.915,1.0,4.0
Switzerland,CHE,756.0,2020,2.0454295,1.972023,1.1762402,1.7768903,1.5848926,1.536163,0.022,85.0,0.888888888888889,1.0,1.0,1.0,,0.901,121.78597799837084,9.344871149953658,,60521.26266021757,83.0,8638167.0,1.46,5.27676010131836,33.7,2.50321147688697,94.3499,127.4054064,4.151285799406286,32.1215359394659,53786.0,0.855,0.873,0.869,0.935,1.0,2.0
Syrian Arab Republic (the),SYR,760.0,2020,-1.7353964,-1.7542578,-2.7118478,-2.0889084,-1.8916138,-1.9307486,0.919,14.0,0.4305555555555555,3.0,7.0,7.0,,0.139,48.401362179255145,,,2903.7398355317155,72.14,20772595.0,2.798,,,16.0817712534432,35.78,80.20304156,1.255529220109476,2.8431084245493654,270006.0,0.033,0.132,0.024,0.168,0.0,2.0
Syrian Arab Republic (the),SYR,760.0,2020,-1.7353964,-1.7542578,-2.7118478,-2.0889084,-1.8916138,-1.9307486,0.919,14.0,0.4305555555555555,3.0,7.0,7.0,,0.139,48.401362179255145,,,2903.7398355317155,72.14,20772595.0,2.798,,,16.0817712534432,35.78,80.20304156,1.255529220109476,2.8431084245493654,270006.0,0.033,0.132,0.024,0.168,0.0,2.0
Syrian Arab Republic (the),SYR,760.0,2020,-1.7353964,-1.7542578,-2.7118478,-2.0889084,-1.8916138,-1.9307486,0.919,14.0,0.4305555555555555,3.0,7.0,7.0,,0.139,48.401362179255145,,,2903.7398355317155,72.14,20772595.0,2.798,,,16.0817712534432,35.78,80.20304156,1.255529220109476,2.8431084245493654,270006.0,0.033,0.132,0.024,0.168,0.0,2.0
Syrian Arab Republic (the),SYR,760.0,2020,-1.7353964,-1.7542578,-2.7118478,-2.0889084,-1.8916138,-1.9307486,0.919,14.0,0.4305555555555555,3.0,7.0,7.0,,0.139,48.401362179255145,,,2903.7398355317155,72.14,20772595.0,2.798,,,16.0817712534432,35.78,80.20304156,1.255529220109476,2.8431084245493654,270006.0,0.033,0.132,0.024,0.168,0.0,2.0
