cname,ccodealp,ccode,year,wbgi_cce,wbgi_gee,wbgi_pve,wbgi_rle,wbgi_rqe,wbgi_vae,vdem_corr,ti_cpi,icrg_qog,fh_status,fh_pr,fh_cl,p_polity2,vdem_polyarchy,wdi_trade,wdi_taxrev,pwt_pop,mad_gdppc,wdi_lifexp,wdi_pop,wdi_fertility,wdi_expedu,wdi_gini,wdi_empagr,wdi_internet,wdi_mobile,wdi_co2,wdi_forest,wdi_migration,vdem_libdem,vdem_partip,vdem_delibdem,vdem_egal,br_pvote,ucdp_type4
Bahamas (the),BHS,44.0,2020,1.1062871,0.40525892,0.8303069,0.02109835,0.0013661537,0.9139967,,63.0,0.7222222222222222,1.0,1.0,1.0,,,57.93014801871824,18.66061102408065,,,72.677,406471.0,1.394,3.7900116443634,,3.12188470100878,92.4437,114.6450432,3.5453943823790626,50.935064935064936,0.0,,,,,0.0,
Bahrain,BHR,48.0,2020,-0.09297839,0.3904401,-0.6101046,0.45458642,0.6148575,-1.4531559,0.713,42.0,0.59375,3.0,7.0,6.0,,0.122,140.2180124187961,2.922317848691434,,36890.50295253776,79.174,1477469.0,1.832,2.55237460136414,,0.935135501946129,99.671,119.86485,24.92505764926371,0.89171974522293,-48716.0,0.052,0.092,0.067,0.39,0.0,1.0
Bangladesh,BGD,50.0,2020,-1.0037122,-0.7794913,-0.9158169,-0.5655312,-0.9062135,-0.769459,0.896,26.0,0.4166666666666667,2.0,5.0,5.0,,0.257,26.27144737621502,7.001536744054366,,4418.9642546993055,71.968,167420951.0,2.003,1.76528060436249,,38.1232033837351,36.1091,105.2911628,0.5959720059169895,14.468771606360914,-61154.0,0.096,0.294,0.104,0.225,0.0,4.0
Armenia,ARM,51.0,2020,-0.0034749738,-0.30454743,-0.7716449,-0.12583143,0.23874803,0.047347892,0.307,49.0,0.3842592592592592,2.0,4.0,4.0,,0.784,69.48880753960763,21.86041927616265,,11546.175309736023,72.173,2805608.0,1.575,2.70555996894836,25.1,52.3839089528943,76.5077,124.3508359,2.389428601572279,11.53740779768177,-12825.0,0.584,0.591,0.624,0.816,1.0,3.0
Barbados,BRB,52.0,2020,1.1935937,0.4437851,1.12066,0.29438126,0.46779585,1.1250012,0.078,64.0,,1.0,1.0,1.0,,0.8,64.73912881609002,,,10487.38640323072,77.393,280693.0,1.628,4.16860008239746,,2.79192797657826,72.6766,105.0970277,2.369136387441084,14.651162790697676,0.0,0.679,0.303,0.704,0.81,0.0,
Belgium,BEL,56.0,2020,1.4458017,1.0782353,0.5210785,1.327594,1.3436358,1.2781404,0.031,76.0,0.8611111111111112,1.0,1.0,1.0,,0.894,155.33507536448897,21.174906934366795,,38763.44257492726,80.69512195121952,11538604.0,1.55,6.80185985565186,26.0,0.915486837410037,91.5264,99.72332827,8.005569824564565,22.764200792602377,53428.0,0.825,0.647,0.82,0.931,1.0,2.0
Bhutan,BTN,64.0,2020,1.6183718,0.30556726,1.0134891,0.5769569,-0.33075085,0.15107737,0.111,68.0,,2.0,2.0,4.0,,0.596,71.83035577038405,12.284637837393396,,,71.609,772506.0,1.433,5.54341268539429,,49.9152566868386,76.8508,96.4571149,1.99894887547799,71.44939695857367,291.0,0.515,0.583,0.514,0.847,0.0,2.0
Bolivia (Plurinational State of),BOL,68.0,2020,-0.8448246,-0.7264553,-0.4534672,-1.2186311,-1.0352901,-0.0864524,0.654,31.0,0.4467592592592592,2.0,3.0,3.0,,0.332,45.503262616667485,,,6062.06482775822,64.467,11936162.0,2.651,8.43710994720459,43.6,30.0006470459498,59.9401,98.89563329,1.546611046331308,46.92491461275731,-4666.0,0.232,0.644,0.207,0.534,1.0,
Bosnia and Herzegovina,BIH,70.0,2020,-0.6430999,-1.0757033,-0.44747713,-0.31613734,-0.18239288,-0.32339147,0.739,35.0,,2.0,4.0,4.0,,0.523,82.11126525728977,18.750644729343875,,10736.168312228834,76.225,3318407.0,1.359,3.01954078674316,,12.230650756409,73.2118,105.7638198,6.788618755927167,42.7326171875,-26857.0,0.343,0.53,0.332,0.644,1.0,2.0
Botswana,BWA,72.0,2020,0.6107759,0.16787927,1.0131681,0.3822219,0.5275863,0.48876333,0.097,60.0,0.5694444444444445,1.0,3.0,2.0,,0.595,77.66321281247156,22.274646223455296,,14162.68519082018,65.647,2546402.0,2.836,8.05833625793457,,19.4434051241347,67.4756,150.3850531,2.3939268033876817,26.917050447302948,1816.0,0.489,0.548,0.502,0.71,0.0,
Brazil,BRA,76.0,2020,-0.4290835,-0.4657092,-0.44689092,-0.23191977,-0.11101153,0.28739506,0.542,38.0,0.4861111111111111,1.0,2.0,3.0,,0.696,32.30207854634089,12.719387857198166,,13685.925743510985,74.009,213196304.0,1.649,5.77150011062622,48.9,9.31407124144575,81.3427,96.54706819,2.099921019268702,59.41747805133678,56880.0,0.539,0.582,0.471,0.474,1.0,2.0
Belize,BLZ,84.0,2020,-0.19325411,-0.6035796,0.5186676,-0.8265396,-0.55057955,0.52132344,,,,1.0,2.0,1.0,,,81.62547244668653,,,,72.854,394921.0,1.999,5.2163200378418,,17.3361851059693,57.0987,66.84898207,0.5565670096044525,55.986409469530905,0.0,,,,,0.0,
Solomon Islands,SLB,90.0,2020,0.06829665,-0.6969805,0.56044656,-0.036500826,-0.83264655,0.45004663,0.647,42.0,,1.0,2.0,2.0,,0.614,60.22033763969248,21.05153286700484,,,70.199,691191.0,4.038,9.64354610443115,,38.109822478336,39.5527,68.57738104,0.4324419733474539,90.13826366559483,-808.0,0.46,0.514,0.358,0.471,0.0,
Brunei Darussalam,BRN,96.0,2020,1.2480153,1.3833094,1.188084,0.89775914,0.90490144,-0.9296866,,60.0,0.6805555555555555,3.0,6.0,5.0,,,110.29100365845196,,,,74.795,441725.0,1.796,,,1.33677088611368,95.0503,121.4758051,21.753126945497765,72.10626185958255,-395.0,,,,,0.0,
Bulgaria,BGR,100.0,2020,-0.32234976,-0.21402784,0.40163103,-0.12767299,0.46099073,0.25938678,0.56,44.0,0.5,1.0,2.0,2.0,,0.608,110.32859368545368,20.278213339967223,,18203.8329720928,73.65853658536587,6934015.0,1.56,4.50513982772827,40.5,6.58568866607309,70.1625,113.849275,5.676682268498121,35.86035372144436,-9902.0,0.502,0.707,0.497,0.697,1.0,
Myanmar,MMR,104.0,2020,-0.67968684,-1.0160697,-1.5117404,-1.1957092,-0.62148327,-0.9396422,0.387,28.0,0.3611111111111111,3.0,5.0,6.0,,0.422,,,,6282.811713203451,66.797,53423198.0,2.174,,,46.4675597490761,41.95429049,147.0303762,0.6699318150141443,43.73403098043422,-66228.0,0.262,0.534,0.344,0.476,0.0,0.0
Burundi,BDI,108.0,2020,-1.5634017,-1.302483,-1.5423521,-1.3406509,-1.0617719,-1.5266128,0.886,19.0,,3.0,7.0,6.0,,0.17,26.77332999959496,15.787822766545034,,720.4459743972841,61.566,12220227.0,5.177,5.32158517837524,37.5,85.3194885434515,9.17302,54.26373457,0.0675928524077335,10.889408099688474,-10186.0,0.052,0.246,0.066,0.337,1.0,7.0
Belarus,BLR,112.0,2020,-0.1341941,-0.8296582,-0.887616,-1.0851741,-0.7998758,-1.452953,0.374,47.0,0.4305555555555556,3.0,7.0,6.0,,0.21,118.93388369033067,12.022907199056911,,19053.15702050917,72.45721951219514,9379952.0,1.474,4.86263990402222,24.4,10.8923500154286,85.0879,121.490553,6.193432546349917,43.1944033894965,13589.0,0.047,0.217,0.045,0.76,0.0,
Cambodia,KHM,116.0,2020,-1.2720416,-0.45037034,-0.20906596,-0.96412593,-0.66110885,-1.3571359,0.895,21.0,,3.0,7.0,5.0,,0.194,123.99074159127736,17.885172776263257,,3728.198416173488,70.416,16396860.0,2.381,3.0023500919342,,36.8999764068932,53.6508,128.6026166,1.012407253583918,45.70796510310446,-22308.0,0.065,0.41,0.07,0.247,1.0,4.0
Cameroon,CMR,120.0,2020,-1.139536,-0.9314109,-1.5136797,-1.1676713,-0.83019936,-1.2054192,0.947,25.0,0.3194444444444444,3.0,6.0,6.0,,0.291,33.73883136238705,10.870582808804157,,2769.286788750432,60.833,26491087.0,4.543,3.10390138626099,,43.1496302927995,41.2264,84.36916915,0.3897537311322861,43.02951069365996,-9889.0,0.13,0.24,0.118,0.5,0.0,6.0
Canada,CAN,124.0,2020,1.5657128,1.5983129,1.0131823,1.6191033,1.5925897,1.4716688,0.027,77.0,0.9050925925925926,1.0,1.0,1.0,,0.858,61.156770963276266,13.503332093386884,,42493.630617386254,81.66048780487806,38028638.0,1.41,4.88794994354248,,1.55635277929941,92.3,85.40841921,14.33045274984605,38.69551250949464,195181.0,0.761,0.648,0.764,0.873,0.0,2.0
Cabo Verde,CPV,132.0,2020,0.8461036,0.19930287,0.8742323,0.43083632,0.16089699,0.91238683,0.262,58.0,,1.0,1.0,1.0,,0.795,78.39345459319013,18.38570329343108,,5831.99844129222,74.808,582640.0,1.908,,,10.743090600802,69.3734,93.49323768,1.5355965948098311,11.344913151364764,-1274.0,0.704,0.551,0.594,0.762,1.0,
Central African Republic (the),CAF,140.0,2020,-1.295018,-1.7287937,-2.2362776,-1.7542385,-1.5022972,-1.3033864,0.821,26.0,,3.0,7.0,7.0,,0.375,49.52102000119206,8.709644826913465,,613.7893419743613,54.604,5343020.0,5.985,2.14468050003052,,71.3497412587839,8.565672483,34.26900891,0.0525545478025536,35.80050723939773,-24803.0,0.199,0.29,0.2,0.347,0.0,2.0
Sri Lanka,LKA,144.0,2020,-0.33032697,-0.07908265,-0.08912885,-0.0058447914,-0.22591479,-0.052089635,0.609,38.0,0.4722222222222222,2.0,4.0,4.0,,0.574,37.08912050130338,7.775292411845033,,11447.249328773152,76.393,21919000.0,2.0,1.55792391300201,,27.1240598516649,36.1847,136.9116134,1.011797983484648,34.15809893307469,-92400.0,0.37,0.508,0.323,0.615,1.0,4.0
Chad,TCD,148.0,2020,-1.4252378,-1.5107372,-1.2552203,-1.3312677,-1.1253096,-1.4032763,0.939,21.0,,3.0,7.0,6.0,,0.271,68.7303601414611,,,1463.5312650403762,52.777,16644701.0,6.346,2.73960399627686,,69.766070717039,8.34311,52.19169152,0.1188426274524246,3.425190597204574,9016.0,0.087,0.307,0.134,0.222,0.0,4.0
Chile,CHL,152.0,2020,1.1061372,0.7050447,0.044044506,0.93016213,0.94864774,0.99194074,0.057,67.0,0.6944444444444443,1.0,1.0,1.0,,0.833,58.18286356297483,16.196169333210758,,20205.86869447819,79.377,19300315.0,1.537,5.62993001937866,47.0,7.18201735610223,87.4593,129.8851806,4.518625732274318,24.49215366655369,98439.0,0.765,0.662,0.728,0.697,1.0,
Chile,CHL,152.0,2020,1.1061372,0.7050447,0.044044506,0.93016213,0.94864774,0.99194074,0.057,67.0,0.6944444444444443,1.0,1.0,1.0,,0.833,58.18286356297483,16.196169333210758,,20205.86869447819,79.377,19300315.0,1.537,5.62993001937866,47.0,7.18201735610223,87.4593,129.8851806,4.518625732274318,24.49215366655369,98439.0,0.765,0.662,0.728,0.697,1.0,
China,CHN,156.0,2020,-0.07102814,0.6439717,-0.47412786,-0.1025051,-0.20264338,-1.6563587,0.458,42.0,0.4722222222222222,3.0,7.0,6.0,,0.076,34.75429569954918,8.090626216076306,,17225.968276942745,78.077,1411100000.0,1.281,4.2333812713623,37.1,23.5998587307763,70.0528,120.5961882,8.53044865707604,23.43132290394016,-33649.0,0.043,0.133,0.116,0.344,1.0,2.0
Taiwan (Province of China),TWN,158.0,2020,1.1249428,1.5391809,0.7559926,1.217756,1.3660793,1.0953039,0.186,65.0,0.7222222222222223,1.0,1.0,1.0,,0.819,,,,48779.43868650653,,,,,,,,,,,,0.712,0.73,0.721,0.906,0.0,
Colombia,COL,170.0,2020,-0.2524986,0.008475319,-0.70115006,-0.49140263,0.22566642,0.14300601,0.407,39.0,0.4166666666666667,2.0,3.0,3.0,,0.64,34.05557096801012,14.044353078288417,,12377.134949809795,74.769,50930662.0,1.737,,53.5,16.6629564461962,69.7953,132.8719623,1.5956596048172318,53.30501126633619,229437.0,0.491,0.641,0.396,0.412,1.0,0.0
Comoros (the),COM,174.0,2020,-1.2091776,-1.6430528,-0.2873849,-1.2769697,-1.2582111,-0.7624647,0.845,21.0,,2.0,5.0,4.0,,0.289,33.72993461574907,,,1869.9440308890576,64.166,806166.0,4.052,2.37805080413818,,35.8433218128784,21.16321517,96.95013186,0.381062957256942,17.689414293390648,-1772.0,0.109,0.536,0.223,0.616,0.0,
Congo (the),COG,178.0,2020,-1.4606524,-1.2544024,-0.21304312,-1.1192163,-1.4521667,-1.2787421,0.814,19.0,0.25,3.0,7.0,5.0,,0.249,69.30662068824718,8.324484402075381,,4203.110203911664,63.785,5702174.0,4.234,4.61901378631592,,32.9997056909616,24.8206,98.52300193,1.2897536974494288,64.26354319180088,-4465.0,0.114,0.547,0.196,0.358,0.0,2.0
Congo (the Democratic Republic of the),COD,180.0,2020,-1.5927435,-1.7449087,-1.7866856,-1.823879,-1.5112456,-1.254215,0.914,18.0,0.1111111111111111,3.0,7.0,6.0,,0.354,58.491757328202254,6.429882097970166,,794.2714174432007,59.739,92853164.0,6.206,2.622638463974,44.7,56.9180947414861,19.8388,43.93861689,0.0368161929301622,55.64731258684192,-1643.0,0.155,0.483,0.286,0.454,1.0,11.0
Congo (the Democratic Republic of the),COD,180.0,2020,-1.5927435,-1.7449087,-1.7866856,-1.823879,-1.5112456,-1.254215,0.914,18.0,0.1111111111111111,3.0,7.0,6.0,,0.354,58.491757328202254,6.429882097970166,,794.2714174432007,59.739,92853164.0,6.206,2.622638463974,44.7,56.9180947414861,19.8388,43.93861689,0.0368161929301622,55.64731258684192,-1643.0,0.155,0.483,0.286,0.454,1.0,11.0
Costa Rica,CRI,188.0,2020,0.6614113,0.19650039,0.74681807,0.49883243,0.4775796,1.1202985,0.19,57.0,0.4444444444444445,1.0,1.0,1.0,,0.897,60.13988624897964,12.276716036241606,,13996.389360173924,79.277,5123105.0,1.555,6.62898015975952,49.2,16.5464643669919,80.5302,146.6370492,1.400166500588998,59.437328632980815,2084.0,0.847,0.666,0.848,0.897,1.0,
Croatia,HRV,191.0,2020,0.1771105,0.4247758,0.60728323,0.23618557,0.36231455,0.57959634,0.296,47.0,0.6666666666666666,1.0,1.0,2.0,,0.768,89.13680576093148,20.78143895203217,,21672.47793772927,77.72439024390245,4047680.0,1.48,4.38901996612549,29.5,6.46603889121934,78.3209,106.805903,4.203395525337971,34.65171551107934,-11592.0,0.656,0.645,0.582,0.777,1.0,
Cuba,CUB,192.0,2020,-0.15395448,-0.20398867,0.59614676,-0.28538504,-1.5304635,-1.4181594,0.575,47.0,0.5416666666666666,3.0,7.0,6.0,,0.179,15.683016027677226,,,7364.105587639862,77.567,11300698.0,1.5,,,17.7870603096352,71.1191,58.95001353,2.165680385406282,31.233140655105974,-7068.0,0.061,0.242,0.104,0.806,0.0,
Cyprus,CYP,196.0,2020,0.34994322,0.8394485,0.28877765,0.54723907,0.9932476,0.9022933,0.2,57.0,0.8055555555555557,1.0,1.0,1.0,,0.804,162.7311823848035,22.228896968410574,,28634.45661240419,81.391,1237537.0,1.328,5.63694000244141,31.7,2.73172594732822,90.8019,139.6351351,5.494785206422111,18.67207792207792,2999.0,0.694,0.592,0.634,0.887,1.0,
Czechia,CZE,203.0,2020,0.555441,0.9109649,0.912328,1.0184506,1.2346685,0.97855496,0.221,54.0,0.6944444444444445,1.0,1.0,1.0,,0.82,133.14831977055704,14.36691503488009,,30365.36824347264,78.17560975609756,10697858.0,1.74,4.72159004211426,26.2,2.61002769903677,81.3389,123.4438209,8.805912361147438,34.67799192549392,3621.0,0.721,0.587,0.65,0.898,1.0,2.0
Benin,BEN,204.0,2020,-0.03998235,-0.29091385,-0.44307166,-0.7669186,-0.48343176,-0.075776935,0.196,41.0,,2.0,4.0,2.0,,0.415,44.83323337687261,,,2297.769732867594,60.088,12643123.0,5.048,3.09441518783569,,29.4486817255553,22.1206,88.11818884,0.6779654045918877,27.80374246186591,1732.0,0.287,0.5,0.287,0.724,0.0,4.0
Denmark,DNK,208.0,2020,2.2364862,1.8400674,0.9202337,1.8067937,1.7857245,1.5147853,0.002,88.0,0.9953703703703703,1.0,1.0,1.0,,0.915,103.7558813046818,34.5312116923201,,47171.08707284589,81.60243902439025,5831404.0,1.68,7.38354015350342,27.5,2.11452602521864,96.5491,124.4957422,4.733559876832406,15.711,23076.0,0.883,0.711,0.879,0.972,1.0,2.0
Dominica,DMA,212.0,2020,0.5567845,-0.12676859,1.3170896,0.79157686,0.26851928,0.8708877,,55.0,,1.0,1.0,1.0,,,,,,7974.306806519906,73.649,71995.0,1.597,4.69630002975464,,,75.6567,103.6294691,0.9528439474963538,63.82666666666667,100.0,,,,,0.0,
Dominican Republic (the),DOM,214.0,2020,-0.75096345,-0.28144786,0.1649812,-0.17101361,0.023165073,0.237135,0.629,28.0,0.3611111111111111,2.0,3.0,3.0,,0.646,44.29365655246752,12.389879902419516,,15325.654565559918,72.889,10999664.0,2.303,4.51769828796387,39.6,8.95288488546274,81.6173,81.72601454,2.096600405248742,45.10950747932928,-14966.0,0.411,0.612,0.54,0.438,1.0,
Ecuador,ECU,218.0,2020,-0.50408655,-0.47050634,-0.27024323,-0.54094964,-0.8711334,-0.014699864,0.642,39.0,0.4722222222222222,2.0,3.0,3.0,,0.624,43.989312439832354,12.941434727277512,,9646.065160433587,72.153,17588595.0,2.051,4.26103019714355,47.3,31.77070485702,70.7,88.04208636,2.028752154450085,50.32142857142857,35894.0,0.476,0.664,0.445,0.606,1.0,
El Salvador,SLV,222.0,2020,-0.5776364,-0.26126662,-0.11499223,-0.7770854,-0.08524321,0.0697046,0.677,36.0,0.4537037037037037,2.0,2.0,4.0,,0.522,66.45950694970826,18.39077507936017,,8137.974501038323,71.061,6292731.0,1.819,3.66088008880615,,15.7957344379758,54.6014,158.1030557,1.0582209854513087,28.17953667953668,-25214.0,0.319,0.499,0.234,0.368,1.0,2.0
Equatorial Guinea,GNQ,226.0,2020,-1.5395705,-1.21556,-0.22156078,-1.1583424,-1.7142559,-1.8105313,0.857,16.0,,3.0,7.0,7.0,,0.176,77.92788464418066,8.011290134460907,,23300.297648989497,60.708,1596049.0,4.346,,,56.0667586065992,55.0013,46.62018522,3.436423317830468,87.28770053475937,0.0,0.053,0.127,0.045,0.346,1.0,
Ethiopia,ETH,231.0,2020,-0.38967237,-0.58958256,-1.753703,-0.4028886,-0.9755013,-1.0363928,0.57,38.0,0.5555555555555556,3.0,6.0,6.0,,0.323,24.006113643482017,6.19629946992619,,2121.8590445605028,65.371,117190911.0,4.243,4.09056520462036,,64.5705706242453,16.0696,37.97222807,0.1607744136403206,15.123989533793422,38867.0,0.151,0.37,0.285,0.557,0.0,4.0
Eritrea,ERI,232.0,2020,-1.3405783,-1.6432179,-0.99274105,-1.4900681,-2.1580546,-2.0631223,0.667,21.0,,3.0,7.0,7.0,,0.069,,,,,67.133,3555868.0,3.933,,,64.6733038661742,23.8002,50.64867425,0.2030727799794593,8.718215239586637,-14987.0,0.01,0.027,0.033,0.429,,1.0
Estonia,EST,233.0,2020,1.5808206,1.2990067,0.709817,1.3350881,1.5295348,1.1671821,0.038,75.0,0.6527777777777778,1.0,1.0,1.0,,0.896,138.97551084884012,20.717475472004484,,28261.582572042505,78.59512195121953,1329522.0,1.58,5.52696990966797,30.7,2.9643133136505,89.0583,144.8567221,8.681014680464106,57.03859649122806,2995.0,0.842,0.645,0.718,0.884,1.0,2.0
Fiji,FJI,242.0,2020,0.613366,0.5905553,0.6627972,0.1975239,-0.102151036,0.056078617,0.291,,,2.0,3.0,3.0,,0.409,72.34357578072522,19.452235217077384,,,67.924,920422.0,2.495,5.80519533157349,,29.6689532800241,83.0267,107.7223274,1.726056091662303,62.3984674329502,-6003.0,0.272,0.37,0.288,0.65,1.0,
Finland,FIN,246.0,2020,2.1704397,1.901004,0.9818251,2.0185921,1.8508983,1.6095119,0.011,85.0,0.9722222222222222,1.0,1.0,1.0,,0.874,71.49866827985447,19.86699602584461,,38871.701847820725,81.93170731707318,5529543.0,1.37,6.6349401473999,27.1,3.65522345358204,92.1703,128.7646479,7.056659112697016,73.72836744094229,17482.0,0.838,0.646,0.809,0.916,1.0,2.0
France,FRA,250.0,2020,1.12262,1.204251,0.28099284,1.2987273,1.189462,1.065753,0.057,69.0,0.7881944444444445,1.0,1.0,2.0,,0.872,56.78215677408889,14.682125365427693,,35913.81936941929,82.17560975609757,67571107.0,1.83,5.65981006622314,30.7,2.35004534001808,84.7064,112.8271405,4.237602619119441,31.50904837304609,18335.0,0.794,0.639,0.806,0.871,0.0,8.0
Djibouti,DJI,262.0,2020,-0.75291455,-0.76106215,-0.44820237,-1.0429868,-0.8570296,-1.4070386,0.659,27.0,,3.0,7.0,5.0,,0.253,222.83798330366423,,,3426.6960805341964,62.694,1090156.0,2.848,,,1.2320908475773,62.5104,39.81402662,0.6253233482180531,0.2502157031924072,744.0,0.121,0.354,0.136,0.492,0.0,3.0
Gabon,GAB,266.0,2020,-0.88690144,-0.9914754,-0.06577282,-0.67991143,-0.8818056,-0.97710365,0.818,30.0,0.4027777777777777,3.0,7.0,5.0,,0.376,70.05999658724238,12.44922132873869,,15745.748639609885,66.531,2292573.0,3.548,3.39874076843262,,30.1854113976682,72.2754,133.0177927,2.466966155494285,91.32068149183064,1514.0,0.202,0.599,0.295,0.693,0.0,2.0
Georgia,GEO,268.0,2020,0.60149264,0.7167384,-0.42961064,0.22287813,1.0011677,0.05560906,0.13,56.0,,2.0,4.0,3.0,,0.629,92.89108417521943,21.180782903854265,,11770.782278923916,72.765,3722716.0,1.971,3.8498592376709,34.5,41.054733805906,72.5316,135.4280451,3.05199214766853,40.61591595913081,-2734.0,0.487,0.572,0.511,0.817,1.0,
Gambia (the),GMB,270.0,2020,-0.4248077,-0.78621423,0.24803548,-0.393535,-0.75901604,-0.20095047,0.324,37.0,0.5,2.0,4.0,4.0,,0.496,47.50036502539037,,,1914.1968567045408,62.612,2573995.0,4.777,2.88734579086304,38.8,48.5284532040635,44.8133,104.038819,0.2095963667373091,23.979249011857707,-1960.0,0.411,0.568,0.374,0.664,0.0,4.0
Germany,DEU,276.0,2020,1.8253416,1.3136882,0.64504915,1.5201278,1.5779347,1.3739091,0.017,80.0,0.888888888888889,1.0,1.0,1.0,,0.873,81.1473589268244,10.551336328087128,,44996.4296207847,81.04146341463415,83160871.0,1.53,5.59038019180298,32.4,1.22072211603765,89.8129,128.8867207,7.664607072237133,32.68267552019233,334055.0,0.827,0.662,0.838,0.925,1.0,2.0
Ghana,GHA,288.0,2020,-0.127223,-0.19697934,0.1699019,-0.08212852,-0.13057971,0.5528894,0.633,43.0,0.513888888888889,1.0,2.0,2.0,,0.722,66.57549871624315,11.340431962926123,,4069.2519024115472,64.114,32180401.0,3.623,3.40915989875793,,40.4799899616882,62.5176,125.7336966,0.6814924400724528,35.096930994624955,-297.0,0.612,0.376,0.602,0.678,0.0,5.0
Kiribati,KIR,296.0,2020,0.46727896,0.13462663,1.1575924,1.0113693,-0.43056333,1.116668,,,,1.0,1.0,1.0,,,75.99479783950616,21.32515330555556,,,67.266,126463.0,3.333,,,,52.0585,43.22257718,0.5495678577923978,1.4567901234567904,-296.0,,,,,0.0,
Greece,GRC,300.0,2020,0.03195084,0.402937,0.11518153,0.28897303,0.53649765,0.9629447,0.216,50.0,0.638888888888889,1.0,1.0,2.0,,0.809,71.84030946478009,25.30182862979114,,21767.220165271887,81.28780487804877,10698599.0,1.39,4.49500036239624,33.6,10.2879137174463,78.1158,108.5687131,4.889256995238348,30.2699767261443,-17853.0,0.693,0.664,0.719,0.846,1.0,
Grenada,GRD,308.0,2020,0.35777038,0.002467415,1.0326236,0.3276904,-0.122246236,0.6848397,,53.0,,1.0,1.0,2.0,,,,,,,74.924,123663.0,2.023,,,,73.2676,96.03519242,0.9873608112369908,52.05882352941177,0.0,,,,,0.0,
Guatemala,GTM,320.0,2020,-1.1340978,-0.71337223,-0.4158293,-1.1003926,-0.2705029,-0.37849292,0.755,25.0,0.4768518518518518,2.0,4.0,4.0,,0.595,41.143028003005696,9.95563837081418,,7309.368193308424,71.797,16858333.0,2.484,3.29503011703491,,30.5275776556293,47.5123,117.4393951,1.049457262470732,32.92086599477417,-23142.0,0.414,0.533,0.335,0.294,1.0,2.0
Guinea,GIN,324.0,2020,-0.9732178,-0.96909773,-0.66928524,-1.3037987,-0.87800187,-0.91927886,0.719,28.0,0.3611111111111111,2.0,5.0,5.0,,0.299,115.03739397715538,,,1726.50825466548,59.327,13205153.0,4.489,2.43267011642456,,61.215265730538,29.3934,104.466802,0.2545218521890658,25.18720494872213,-4364.0,0.12,0.531,0.117,0.389,1.0,4.0
Guyana,GUY,328.0,2020,-0.17318676,-0.4467428,-0.13755472,-0.43357652,-0.53612655,0.21252152,0.433,41.0,0.4722222222222222,1.0,2.0,3.0,,0.567,,,,,68.486,797202.0,2.418,,,12.0691400089398,73.1413,107.375546,4.167701536122588,93.5501143002286,802.0,0.401,0.536,0.37,0.695,1.0,
Haiti,HTI,332.0,2020,-1.3466885,-2.1133192,-1.0274929,-1.0305405,-1.2560368,-0.8412606,0.849,18.0,0.1666666666666666,2.0,5.0,5.0,,0.376,34.457201906164194,,,1641.7617050038757,64.052,11306801.0,2.869,1.371013879776,,46.2956534021837,36.39474796,64.73094691,0.3017299057443391,12.601596516690854,-33872.0,0.22,0.263,0.262,0.16,0.0,
Honduras,HND,340.0,2020,-0.98805124,-0.6458094,-0.44850773,-1.0103334,-0.49494037,-0.6189473,0.831,24.0,0.4097222222222221,2.0,4.0,5.0,,0.376,88.00085638362921,,,4567.885690671236,71.462,10121763.0,2.394,5.97629117965698,,25.2128716520937,45.2483,68.76918576,0.871913321819529,56.83492716060417,-6199.0,0.237,0.562,0.261,0.268,1.0,
Hungary,HUN,348.0,2020,0.068954095,0.5385356,0.83704686,0.4923858,0.46936685,0.3903731,0.486,44.0,0.6388888888888888,2.0,3.0,3.0,,0.465,155.4226638935124,22.607730243907696,,26091.40032999944,75.56829268292685,9750149.0,1.59,4.1535701751709,29.7,4.75693947841534,84.7712,105.9697831,5.089963240561759,22.49627438088976,9042.0,0.356,0.605,0.24,0.639,1.0,
Iceland,ISL,352.0,2020,1.6668644,1.47593,1.3750316,1.7502216,1.4430121,1.3817542,0.012,75.0,0.9166666666666666,1.0,1.0,1.0,,0.857,67.97507562567439,22.40161375120272,,39368.39939902689,83.06341463414634,366463.0,1.72,8.58382987976074,,4.04335441510163,99.5328,114.9221778,8.35063840005676,0.5092730338192998,2573.0,0.777,0.691,0.785,0.914,1.0,
India,IND,356.0,2020,-0.2935984,0.37453246,-0.8414192,-0.058424745,-0.12848867,0.12733279,0.66,40.0,0.638888888888889,2.0,2.0,4.0,,0.394,37.75810532928246,,,6730.546822014761,70.15,1396387127.0,2.051,4.04014158248901,33.8,44.6754943536434,43.4054,82.621059,1.661916423553509,24.27022827333605,-34772.0,0.294,0.54,0.258,0.456,0.0,0.0
Indonesia,IDN,360.0,2020,-0.45496294,0.31706503,-0.4623114,-0.36560273,0.2161567,0.09930083,0.768,37.0,0.513888888888889,2.0,2.0,4.0,,0.576,32.972175400352825,8.31010524192246,,11895.075330697577,68.808,271857970.0,2.194,1.01593220233917,35.3,29.5715827857622,53.7265,130.8110952,2.185983364769479,49.07178036547167,-24999.0,0.416,0.609,0.497,0.449,1.0,4.0
Indonesia,IDN,360.0,2020,-0.45496294,0.31706503,-0.4623114,-0.36560273,0.2161567,0.09930083,0.768,37.0,0.513888888888889,2.0,2.0,4.0,,0.576,32.972175400352825,8.31010524192246,,11895.075330697577,68.808,271857970.0,2.194,1.01593220233917,35.3,29.5715827857622,53.7265,130.8110952,2.185983364769479,49.07178036547167,-24999.0,0.416,0.609,0.497,0.449,1.0,4.0
